autor_comentarios,corpo_comentarios,data_comentarios,endereco_comentarios,titulo_comentarios
,,,,
Anastasia P,It’s was ok; an empty building with a nice spots for photos.,"Written July 9, 2022",7 contributions,Ok but expensive
Murray F,So we waited in line for the monastery to find out we had to go next door to buy tickets there. Our bad for not researching. When I got to the auto payment machine I picked the family option and paid $15 E for th tickets. Before I could get the tickets a lady who worked there grabbed them from the machine and refused to hand them over saying I hadn’t paid enough. She didn’t even know what family I had. She refused to give them over till I payed more. If she was a guy I would have thumped him I reckon. She was rude and obnoxious and we ended up paying double for a very ordinary tour. Reading this chain of reviews she’s had similar antics but never been held to account. And this is a monastery!! 😂,"Written July 8, 2022","Mosman, Australia",Scammed at ticket booth
kf17020,Very nice building to see and courtyard to view. Worth seeing if you're visiting Lisbon. Easy walk from Belem Tower.,"Written July 8, 2022","Marietta, GA",Beautiful courtyard
Nadina P,"Generally, I was let down by most of the touristy historical things in Lisbon, and I'm a total sucker for that. But I LOVED this monastery! This was totally worth the visit. My advice is the buy your tickets online. We were in and out with no issues.","Written July 7, 2022","New York City, NY",My favorite site!
Therese G,"We were able to attend Sunday mass here, plenty of times. Had a 1030 and a 1230. Beautiful church and the Cloister was free on Sunday:)","Written July 6, 2022",12 contributions,Nice place for Sunday Mass
RichardK938,This monastery is a must see for everyone in Lisbon.  The architecture is incredible!  Don't expect much of the interiors since it is a monastery which is supposed to be filled with monks who took vows of poverty.  The attached cathedral does however have a very elaborate interior.,"Written July 4, 2022","West Palm Beach, FL",Highlight of Lisbon
B1714D,"The Jeronimo Monastery is in the southwestern part of Lisbon - Belem. This area has a lot to offer in terms of sightseeing, so I advise planning a full day here to see them all - this Monastery, Belem tower, Discoveries monument, Coach museum,...","Written July 3, 2022","Belgrade, Serbia",The peak of colonial Portugal
gibswong,Splendid building of sculptured stone on a grand scale.  A memory of when Lisbon was rich on the trade.,"Written June 30, 2022","Hong Kong, China",Splendid building of sculptured stone
Steviefull,Having walked along the Tagus and took in Belem Tower and had something to eat we headed over to the monastery with our Lisboa card in hand.  The queue for free access to the church was pretty massive but the Monastery was walk right in.  You do get to see the church from above as you walk around so its not like you miss out.,"Written June 29, 2022","Kidderminster, UK",A Beautiful Building
WilliamWillieWilson,"This imposing and impressive structure that opened in 1495 is worth touring if you find yourself relatively near the Tower of Belém. First, purchase your tickets at the middle entrance along Praça do Império (Portuguese for Empire Square) followed by a wait in the entrance line toward the east end of the building. You’ll enjoy the quiet courtyard with a fountain, a large, beautifully tiled room, and the impressive cathedral.","Written June 27, 2022","Nashville, TN",A beautiful space!
,,,,
KOTA K,"Extremely beautiful building and full of history, great pictures, too bad access is forbidden in most of the building, note 10","Written June 27, 2022","Bucharest, Romania",Beautiful
Martin H,This is a beautiful monastery. ,"Written June 24, 2022","Hong Kong, China",Really Beautiful
Linda C,"Weren't sure whether or not to go in, but so pleased we did. Such a peaceful and beautiful place! Queuing a bit unusual as you go one place to buy tickets then move along to actually enter","Written June 23, 2022","Reading, UK",Beautiful!
David R,"Give the history of this magnificent monastery, it is time well invested in seeing the cloister and inside the church - must see.","Written June 20, 2022","London, UK",A muist visit when in Lisbon.
mary c,"We did a half day tour of Belem with a local tour guide Cristine ( anachristinaquental@hotmail.com) who was excellent! Providing history and local culture as well as welcoming us to Lisbon, and orienting us to the city! ","Written June 15, 2022","monclova, ohio",Start your trip  to Lisbon in Belem!
Tigertribal,Built to honour Vasco da Gama's 1498 voyage to India. His tomb lies just inside the entrance to Santa Maria church.,"Written June 14, 2022","Craigavon, UK",Beautiful Intricate Architecture
RandyRoss,"The Jerónimos Monastery is a former monastery of the Order of Saint Jerome near the Tagus river.  It was secularised on 28 December 1833 by state decree and its ownership transferred to the charitable institution, Real Casa Pia de Lisboa.  This UNESCO World Heritage Site reflects the wealth of the Golden Age of Discovery and contains the tombs of poet Luís de Camões and explorer Vasco da Gama.","Written June 13, 2022","Ridgetown, Canada",Beautiful monastery.  UNESCO Heritage Site.
Lucy F,"The monastery is very pretty and architecturally stunning, however it felt like you couldn’t go in that much of it? The visit was shorter than we had expected. There was t that much information around either. You have to queue to get in the church again, which is free.","Written June 13, 2022","Cambridge, UK",Pretty
Andrew D,"Very little of the monastery can be visited apart from the cloisters, which are impressive.","Written June 13, 2022","Milan, Italy",Impressive 16th century cloisters.
alohatripper,"When in Lisbon, this church is THE church to see and stand in awe.  Very crowded but don't let that deter you.  Come early to avoid the tour groups.  ","Written June 9, 2022","Honolulu, HI",Stunning architecture and rich history
,,,,
Ashley W,"Beautiful architecture and buildings to look around but not with €10 each. Go into the church for free to get a feel it’s stunning. If you want to see more, then get entry to the rest.","Written June 7, 2022","London, UK",Beautiful but have a look in the church for free first. 10€ is pricey for a bit more free roaming.
MonkeySeeDo,"I visited the monastery as part of a guided tour, and I was glad that I did just to hear about some of the intricate details. ","Written June 5, 2022",33 contributions,Gorgeous Monastery with interesting history!
Christina M,"It is well worth going inside if you are a fan of architecture! The detail is breathtaking. It almost feels like you are walking the grounds of a  mystical, magical place. Take your time enjoying all of the intricacies. ","Written June 3, 2022","Toronto, Canada",Utterly incredible
Simon Y,"Absolutely stunning building. Every angle reveals another unforgettable image, especially in the sunlight. Highly recommended.","Written June 2, 2022","Polmont, UK",Stunning building 
Anne B,Beautiful building but you pay €10 to queue for ages and then visit the cloisters which takes 5 minutes. You then have to queue again to visit the church which is free.,"Written June 2, 2022",6 contributions,Stay outside
Pollyscrypt,"Beautiful building you have to visit in Lisbon. 2 floors to walk round and admire all the stone carvings and a church you can visit. We purchased our tickets at another entrance and made our way to the normal entrance, there was also a massive queue for the church as that’s free. ","Written May 30, 2022","Glasgow, UK",Stunning and well worth a visit
Thomas S,"Fascinating detailed stonework with interesting carvings of animals, faces and crests. Two levels around the courtyard. We did not also see the church (mass was in progress) but didn’t feel we missed anything.  Note, if you have Lisboa Card, no need to stand in line for tickets. Just show card to enter. Adults and young adults enjoyed this. Spent an hour which was enough time to experience it.","Written May 29, 2022","Deerfield, Illinois, United States",A must see!
ayalasibanda,We arrived around 11.20 and there were 2 queues; the monastery and the church. We pre bought tickets joined the queue and it went fast. ,"Written May 26, 2022","Greater London, UK",Beautiful setting
